"blockwise|global_perm|elitism_True","blockwise|global_perm|elitism_False","blockwise|random_swap|elitism_True","blockwise|random_swap|elitism_False","blockwise|between_teams|elitism_True","blockwise|between_teams|elitism_False","positionbased|global_perm|elitism_True","positionbased|global_perm|elitism_False","positionbased|random_swap|elitism_True","positionbased|random_swap|elitism_False","positionbased|between_teams|elitism_True","positionbased|between_teams|elitism_False","blockwise_2child|global_perm|elitism_True","blockwise_2child|global_perm|elitism_False","blockwise_2child|random_swap|elitism_True","blockwise_2child|random_swap|elitism_False","blockwise_2child|between_teams|elitism_True","blockwise_2child|between_teams|elitism_False","positionbased_2child|global_perm|elitism_True","positionbased_2child|global_perm|elitism_False","positionbased_2child|random_swap|elitism_True","positionbased_2child|random_swap|elitism_False","positionbased_2child|between_teams|elitism_True","positionbased_2child|between_teams|elitism_False"
"[0.7052365387324693, 0.7662486599270054, 0.751462610817912]","[0.7586344183486841, 0.813953488372094, 0.7743698787230197]","[0.8264761545753762, 0.7743698787230215, 0.7153311448094616]","[0.857192849437799, 0.7662486599270085, 0.751462610817912]","[0.7206886658801441, 0.7153311448094631, 0.8264761545753772]","[0.7321218693493887, 0.7206886658801475, 0.8406742291914676]","[0.7662486599270054, 0.7321218693493883, 0.715331144809462]","[0.7586344183486812, 0.7206886658801445, 0.6914194930545704]","[0.7743698787230209, 0.8264761545753762, 0.6674855026105382]","[0.7382459592813456, 0.7743698787230197, 0.7382459592813441]","[0.7662486599270054, 0.8406742291914676, 0.8139534883720931]","[0.6871182175408632, 0.7830790539176469, 0.7662486599270054]","[0.715331144809462, 0.7924800187143637, 0.8264761545753762]","[0.8571928494377958, 0.7052365387324697, 0.7206886658801457]","[0.6789136829614721, 0.7206886658801466, 0.8027094836259859]","[0.8264761545753786, 0.8571928494377958, 0.7206886658801466]","[0.8571928494377958, 0.8264761545753786, 0.7662486599270054]","[0.7206886658801466, 0.7382459592813441, 0.7153311448094631]","[0.877215418821962, 0.8027094836259859, 0.6569603357043796]","[0.7514626108179125, 0.6871182175408622, 0.656960335704381]","[0.9034203067406401, 0.8139534883720931, 0.7321218693493878]","[0.6914194930545707, 0.7153311448094631, 0.751462610817912]","[0.7662486599270069, 0.8264761545753772, 0.7743698787230197]","[0.7052365387324689, 0.6789136829614711, 0.7052365387324697]"
"[0.7262781079547564, 0.7662486599270054, 0.751462610817912]","[0.7586344183486841, 0.8571928494377958, 0.7743698787230197]","[0.8264761545753762, 0.813953488372094, 0.7743698787230197]","[0.8772154188219661, 0.8571928494377958, 0.7514626108179125]","[0.7382459592813446, 0.7382459592813446, 0.8406742291914676]","[0.7321218693493887, 0.8027094836259859, 0.877215418821962]","[0.7830790539176461, 0.7321218693493883, 0.7382459592813456]","[0.7586344183486812, 0.7743698787230215, 0.7052365387324697]","[0.7743698787230209, 0.8264761545753762, 0.7743698787230197]","[0.7382459592813456, 0.8264761545753762, 0.751462610817912]","[0.7662486599270054, 0.8406742291914676, 0.8139534883720931]","[0.7662486599270085, 0.7830790539176469, 0.7662486599270054]","[0.715331144809462, 0.7924800187143637, 0.8571928494377958]","[0.8571928494377958, 0.7321218693493883, 0.7586344183486841]","[0.813953488372094, 0.7382459592813446, 0.8264761545753786]","[0.8264761545753786, 0.8571928494377958, 0.7382459592813456]","[0.9034203067406401, 0.8571928494377958, 0.7924800187143637]","[0.7206886658801466, 0.877215418821962, 0.8264761545753786]","[0.877215418821962, 0.8027094836259859, 0.6829524575187127]","[0.9034203067406401, 0.7262781079547554, 0.715331144809462]","[0.9034203067406401, 0.8139534883720931, 0.8027094836259859]","[0.7586344183486805, 0.8027094836259859, 0.7052365387324689]","[0.7662486599270069, 0.8264761545753772, 0.8027094836259859]","[0.6958657427575751, 0.6638841052322427, 0.7052365387324697]"
"[0.7382459592813446, 0.7830790539176449, 0.877215418821962]","[0.7586344183486841, 0.8571928494377958, 0.7743698787230197]","[0.8264761545753762, 0.8264761545753786, 0.8264761545753786]","[0.8772154188219661, 0.8264761545753772, 0.7662486599270054]","[0.813953488372094, 0.8027094836259836, 0.9034203067406401]","[0.7586344183486841, 0.9034203067406401, 0.8406742291914676]","[0.8571928494377958, 0.7321218693493883, 0.7514626108179125]","[0.8571928494377958, 0.8571928494377958, 0.7262781079547554]","[0.8139534883720931, 0.8264761545753762, 0.7743698787230197]","[0.7662486599270054, 0.7743698787230197, 0.8406742291914676]","[0.7662486599270054, 0.8406742291914676, 0.8571928494377958]","[0.8264761545753772, 0.7830790539176469, 0.7662486599270054]","[0.715331144809462, 0.7924800187143637, 0.8571928494377958]","[0.8571928494377958, 0.7830790539176449, 0.7586344183486841]","[0.813953488372094, 0.7743698787230215, 0.9034203067406401]","[0.8264761545753786, 0.8571928494377958, 0.751462610817912]","[0.9034203067406401, 0.857192849437799, 0.7924800187143637]","[0.7743698787230208, 0.7830790539176469, 0.8264761545753786]","[0.877215418821962, 0.8027094836259859, 0.7101861018628809]","[0.9034203067406401, 0.7262781079547556, 0.7101861018628809]","[0.9034203067406401, 0.8139534883720931, 0.8027094836259859]","[0.7382459592813446, 0.7586344183486841, 0.7830790539176442]","[0.7662486599270069, 0.8264761545753772, 0.9459459459459473]","[0.8264761545753786, 0.7924800187143668, 0.7321218693493883]"
