Generation,tournament|positionbased|global_perm|elitism=True,tournament|positionbased|random_swap|elitism=True,tournament|positionbased_2child|random_swap|elitism=True,tournament|blockwise|random_swap|elitism=True,tournament|blockwise_2child|global_perm|elitism=True,tournament|positionbased|between_teams|elitism=True,fitness_proportionate|positionbased|global_perm|elitism=True,fitness_proportionate|positionbased|random_swap|elitism=True,fitness_proportionate|positionbased_2child|random_swap|elitism=True,fitness_proportionate|blockwise|random_swap|elitism=True,fitness_proportionate|blockwise_2child|global_perm|elitism=True,fitness_proportionate|positionbased|between_teams|elitism=True
0,0.7588556353724589,0.7446808510638305,0.7514626108179125,0.7446808510638305,0.7550485145832968,0.7662486599270054,0.7234833869174506,0.751462610817913,0.7514626108179125,0.7588556353724589,0.7514626108179123,0.7480717309408711
1,0.7830790539176455,0.766248659927007,0.7743698787230212,0.7830790539176449,0.8139534883720931,0.8027094836259859,0.7624415391378447,0.7787244663203329,0.7787244663203329,0.7787244663203329,0.7703092693250125,0.7830790539176451
2,0.7928942687718152,0.8027094836259847,0.7975947511701749,0.8264761545753772,0.8335751918834231,0.8139534883720931,0.7830790539176451,0.8027094836259859,0.787779536316005,0.7877795363160065,0.7975947511701736,0.787779536316005
3,0.8083314859990396,0.813953488372094,0.8027094836259859,0.8571928494377958,0.857192849437799,0.8264761545753778,0.8083314859990396,0.8027094836259859,0.7924800187143652,0.8139534883720931,0.8083314859990396,0.7975947511701752
4,0.8264761545753772,0.8264761545753786,0.813953488372094,0.877215418821962,0.877215418821962,0.8264761545753786,0.8139534883720931,0.8083314859990396,0.8027094836259836,0.8139534883720936,0.8139534883720936,0.8027094836259836
5,0.8406742291914676,0.8489335393146318,0.8202148214737356,0.8772154188219641,0.8772154188219661,0.8406742291914676,0.8139534883720936,0.8264761545753762,0.8027094836259859,0.8139534883720936,0.820214821473735,0.8027094836259847
6,0.8406742291914676,0.8489335393146318,0.8406742291914676,0.9034203067406401,0.9034203067406401,0.8571928494377958,0.8264761545753786,0.8264761545753767,0.8083314859990396,0.8264761545753778,0.8335751918834231,0.8083314859990398
7,0.8406742291914676,0.8571928494377958,0.8489335393146318,0.9034203067406401,0.9034203067406401,0.857192849437799,0.8264761545753786,0.8264761545753772,0.8139534883720931,0.8264761545753778,0.8406742291914676,0.8264761545753772
8,0.8571928494377958,0.877215418821962,0.8571928494377958,0.9034203067406401,0.9034203067406401,0.8772154188219661,0.8406742291914676,0.8264761545753786,0.8264761545753774,0.8264761545753786,0.8406742291914676,0.8264761545753772
9,0.8571928494377958,0.877215418821962,0.8571928494377958,0.9034203067406401,0.9034203067406401,0.8903178627813031,0.8489335393146318,0.8264761545753786,0.8264761545753786,0.8489335393146318,0.8571928494377958,0.8264761545753772
