,tournament|blockwise|random_swap|elitism=True,tournament|blockwise|random_swap|elitism=False,tournament|positionbased|global_perm|elitism=True,tournament|positionbased|global_perm|elitism=False,tournament|positionbased|random_swap|elitism=True,tournament|positionbased|random_swap|elitism=False,tournament|positionbased_2child|between_teams|elitism=True,tournament|positionbased_2child|between_teams|elitism=False,tournament|positionbased_2child|global_perm|elitism=True,tournament|positionbased_2child|global_perm|elitism=False,tournament|positionbased|between_teams|elitism=True,tournament|positionbased|between_teams|elitism=False,tournament|blockwise|between_teams|elitism=True,tournament|blockwise|between_teams|elitism=False,tournament|blockwise_2child|random_swap|elitism=True,tournament|blockwise_2child|random_swap|elitism=False,fitness_proportionate|blockwise|random_swap|elitism=True,fitness_proportionate|blockwise|random_swap|elitism=False,fitness_proportionate|positionbased|global_perm|elitism=True,fitness_proportionate|positionbased|global_perm|elitism=False,fitness_proportionate|positionbased|random_swap|elitism=True,fitness_proportionate|positionbased|random_swap|elitism=False,fitness_proportionate|positionbased_2child|between_teams|elitism=True,fitness_proportionate|positionbased_2child|between_teams|elitism=False,fitness_proportionate|positionbased_2child|global_perm|elitism=True,fitness_proportionate|positionbased_2child|global_perm|elitism=False,fitness_proportionate|positionbased|between_teams|elitism=True,fitness_proportionate|positionbased|between_teams|elitism=False,fitness_proportionate|blockwise|between_teams|elitism=True,fitness_proportionate|blockwise|between_teams|elitism=False,fitness_proportionate|blockwise_2child|random_swap|elitism=True,fitness_proportionate|blockwise_2child|random_swap|elitism=False
0,0.7154373838715123,0.695943495703934,0.66464566451292,0.6776517991434059,0.6882117242631842,0.6894091001381437,0.6776517991434057,0.689409100138143,0.7262781079547537,0.6850353375297865,0.7028520185428835,0.691709977936005,0.6730905409105821,0.6674855026105382,0.6737477880157137,0.6638841052322424,0.6234102513081192,0.6694391386297533,0.6536689908843732,0.658756300808687,0.6873897128595254,0.6517804781841553,0.7550485145832988,0.7157573233436141,0.6959434957039321,0.6635280582520232,0.7077113202976762,0.6676857652589148,0.6656848039213896,0.6368495137192032,0.6752189800646269,0.6755011613865525
1,0.7417922400836504,0.7333968778136879,0.6961773781366658,0.6936426179060722,0.7206886658801449,0.7234833869174506,0.748440188815013,0.6914919801492186,0.7462633839408795,0.7180099053448037,0.72348338691745,0.6937928579470789,0.7028520185428828,0.7672708323677784,0.7388703593863343,0.6920751108469705,0.6539938821087892,0.6720392766226209,0.6873897128595237,0.6703733569629975,0.7133728031540256,0.6750502963776852,0.7550485145832988,0.6552944160447554,0.7005511407450224,0.6503776460643661,0.7264052676147672,0.6639314305505524,0.6983280158935199,0.6487907736757015,0.6937928579470778,0.6370385290506052
2,0.7703092693250135,0.7665021485358504,0.7129626023063069,0.7475292723015818,0.7616990747530659,0.7322620336180505,0.7606625065994944,0.7388703593863337,0.7703092693250131,0.7180099053448039,0.7448542850496283,0.7351839143153664,0.705236538732471,0.792894268771815,0.7672708323677787,0.7484401888150126,0.712758623336172,0.6769539274943683,0.7351839143153662,0.7294673125807445,0.7322620336180501,0.6991418011640863,0.7834249487186937,0.64724065252485,0.7153311448094624,0.6809330702400929,0.7624415391378447,0.6621307318614045,0.7249586948981501,0.6961773781366658,0.7351839143153662,0.6850353375297868
3,0.7928942687718155,0.7830790539176451,0.7294673125807445,0.7743698787230197,0.7928942687718155,0.7703092693250125,0.7638799524907378,0.7514626108179128,0.7703092693250131,0.7102838417709655,0.7588556353724595,0.7743698787230215,0.7351839143153662,0.814592819100681,0.7830790539176455,0.7624415391378433,0.7360756383490299,0.675501161386552,0.7480717309408704,0.7078993215813787,0.7388703593863339,0.7153311448094626,0.7924800187143652,0.64724065252485,0.7208046263821084,0.660782277929133,0.7624415391378447,0.7102838417709674,0.7595253648934255,0.6871182175408621,0.7448542850496286,0.6810561947840625
4,0.8273138587817808,0.7830790539176451,0.7827080495950028,0.7743698787230197,0.804777604246511,0.7985162711448687,0.7638799524907378,0.7514626108179128,0.7787244663203328,0.7012246811751626,0.7624415391378435,0.7787244663203339,0.7550485145832984,0.8335751918834231,0.8216918564087268,0.7703092693250131,0.73607563834903,0.7153311448094631,0.7550485145832966,0.681675622684057,0.7514626108179125,0.6679370093329255,0.7975947511701764,0.7180099053448039,0.7453781438490361,0.6789733147729875,0.7662486599270054,0.7082772043188603,0.7638799524907378,0.6871182175408621,0.7448542850496286,0.6675355075130701
5,0.8273138587817808,0.8202148214737351,0.7827080495950028,0.7743698787230207,0.804777604246511,0.8264761545753786,0.792894268771815,0.751462610817913,0.7787244663203328,0.7206886658801455,0.7624415391378435,0.7830790539176464,0.7885396811745033,0.8489335393146318,0.8571928494377958,0.8027094836259859,0.7514626108179125,0.713372803154026,0.7862939533603877,0.7550485145832976,0.7514626108179125,0.710283841770966,0.8216918564087268,0.6741899143794754,0.7453781438490361,0.6950811065934991,0.7662486599270054,0.7291999886520713,0.8027094836259847,0.6830159502511677,0.7448542850496286,0.6798749239949078
6,0.8406742291914676,0.8489335393146318,0.7827080495950028,0.7743698787230207,0.804777604246511,0.8264761545753786,0.8083314859990396,0.7588556353724595,0.7787244663203328,0.7360756383490297,0.7746638569223252,0.8027094836259847,0.7885396811745033,0.8571928494377958,0.8672041341298788,0.7755572185315225,0.7550485145832968,0.6863610206715035,0.7862939533603877,0.7005511407450237,0.7665021485358516,0.7052365387324697,0.8335751918834219,0.7088488005046631,0.7453781438490361,0.7274334764633561,0.798516271144869,0.7110719253561657,0.8083314859990396,0.6693362062022188,0.7588556353724605,0.6604222204683119
7,0.8406742291914676,0.8489335393146318,0.7827080495950028,0.7743698787230207,0.8418345020065865,0.8264761545753786,0.8139534883720934,0.7703092693250131,0.7787244663203328,0.7770860472219485,0.7928942687718142,0.8083314859990396,0.8139534883720931,0.8571928494377958,0.8772154188219641,0.8027094836259859,0.7746638569223273,0.6656848039213904,0.7862939533603877,0.6914919801492196,0.7787244663203329,0.6896076250208524,0.8335751918834219,0.7102838417709663,0.7453781438490361,0.6933277332226602,0.798516271144869,0.7033753189320168,0.8083314859990396,0.6839765004819169,0.8083314859990384,0.650531997344858
8,0.8489335393146318,0.867204134129881,0.7827080495950028,0.7743698787230207,0.8418345020065865,0.8264761545753786,0.8139534883720934,0.7975947511701749,0.7830790539176455,0.7770860472219485,0.8027094836259847,0.8083314859990396,0.8139534883720931,0.8571928494377958,0.8772154188219661,0.8406742291914676,0.8083314859990384,0.7267885520454038,0.813953488372094,0.7033753189320178,0.8047776042465102,0.7382459592813451,0.8406742291914676,0.7182321049088183,0.7746638569223263,0.7326847584719886,0.8202148214737351,0.7417922400836506,0.8083314859990396,0.7102838417709663,0.8083314859990384,0.6604222204683119
9,0.8571928494377974,0.8672041341298826,0.7827080495950028,0.7743698787230207,0.8489335393146318,0.8264761545753786,0.8202148214737348,0.7975947511701749,0.7830790539176455,0.7770860472219485,0.8027094836259847,0.8202148214737364,0.8335751918834231,0.867204134129881,0.8903178627813031,0.8489335393146318,0.8083314859990384,0.7211539856061346,0.8202148214737364,0.7208046263821095,0.8047776042465102,0.753245874036204,0.8406742291914676,0.7182321049088173,0.7746638569223263,0.6659772538658216,0.8202148214737351,0.7480717309408711,0.8083314859990396,0.6920751108469714,0.8202148214737359,0.6845603219823558
